Question,Industry,Control No.,Control Title,Control Description,Priority,References
How do you protect patient data when accessed by staff working remotely or on mobile/endpoint devices?,Healthcare,6.7;8.1,Remote working;Information deletion,"Security measures shall be implemented when personnel are working remotely to protect information accessed, processed, or stored outside the organization’s premises.;Information stored in systems or media shall be deleted when no longer needed.",High,"HIPAA Compliance & Work From Home Guidelines: https://compliancy-group.com/hipaa-compliance-working-from-home/;ISO 27001 Annex A 6.7 – Remote Working: https://hightable.io/iso-27001-annex-a-6-7-remote-working/;ISO 27002:2022 Control 6.7 – Remote Working: https://www.isms.online/iso-27002/control-6-7-remote-working/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Lifecycle), OJ_L_202500302_EN_TXT.pdf (Annex I);Working Remotely: How to Stay HIPAA Compliant From Home: https://www.totalhipaa.com/hipaa-compliance-working-remotely/"
What technical measures are in place to protect against data leakage and ensure PHI is appropriately masked or de-identified for testing or research?,Healthcare,8.11;8.12;8.33,Data masking;Data leakage prevention;Test information,Data masking shall follow access control policies and business/legal requirements.;Data leakage prevention measures shall protect systems and networks handling sensitive data.;Test data shall be securely managed and protected.,High,"Data Masking in Healthcare: https://www.iri.com/blog/data-protection/data-masking-in-healthcare/;HIPAA Data Loss Prevention: https://compliancy-group.com/hipaa-data-loss-prevention/;ISO 27002:2022 Control 8.11 – Data Masking: https://www.isms.online/iso-27002/control-8-11-data-masking/;ISO 27002:2022 Control 8.12 – Data Leakage Prevention: https://www.isms.online/iso-27002/control-8-12-data-leakage-prevention/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Audit Protection), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Security), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Security), OJ_L_202500302_EN_TXT.pdf (Annex I Template)"
"How do you ensure the secure disposal of physical and digital assets (e.g., old hard drives, servers, paper records) that contain patient information?",Healthcare,7.1;7.14;8.1,Storage media;Secure disposal or re-use of equipment;Information deletion,"Managed through their life cycle: acquisition, use, transport, disposal based on classification and handling needs.;Sensitive data and licensed software must be verified as removed before disposal or reuse.;Information stored in systems or media shall be deleted when no longer needed.",High,"Disposal of Protected Health Information – HHS FAQ: https://www.hhs.gov/hipaa/for-professionals/faq/disposal-of-protected-health-information/index.html;Guidelines for Media Sanitization – NIST SP 800-88 Rev.1: https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-88r1.pdf;ISO 27001 Annex A 7.14 – Secure Disposal or Re-Use of Equipment: https://hightable.io/iso-27001-annex-a-7-14-secure-disposal-or-re-use-of-equipment/;ISO 27002:2022 Control 7.14 – Secure Disposal or Re-Use of Equipment: https://www.isms.online/iso-27002/control-7-14-secure-disposal-or-re-use-of-equipment/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), OJ_L_202500302_EN_TXT.pdf (Article 1);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Lifecycle), OJ_L_202500302_EN_TXT.pdf (Annex I);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security), national-cyber-risk-assessment-2022.pdf (p.24)"
"How do you monitor and audit activities within your networks and systems, particularly to detect unauthorized access to patient records?",Healthcare,8.15;8.16;8.17,Logging;Monitoring activities;Clock synchronization,"Logs that record activities, exceptions, and events shall be produced, stored, protected, and analyzed.;Networks, systems, and applications shall be monitored for anomalous behavior; actions must be taken to evaluate incidents.;Clocks of systems must be synchronized to approved time sources.",High,"5 Reasons Why Healthcare Organizations Need a SIEM Tool: https://www.securitymagazine.com/blogs/14-security-blog/post/101137-5-reasons-why-healthcare-organizations-need-a-siem-tool;HIPAA Audit Log Requirements: https://compliancy-group.com/hipaa-audit-log-requirements/;ISO 27002:2022 Control 8.15 – Logging: https://www.isms.online/iso-27002/control-8-15-logging/;ISO 27002:2022 Control 8.16 – Monitoring Activities: https://www.isms.online/iso-27002/control-8-16-monitoring-activities/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Detect, Logging), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Detect, Monitoring), NCSC-SME-Guidance-0225.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Privileged Tools), national-cyber-risk-assessment-2022.pdf (p.30)"
"How are cryptographic controls, like encryption, applied to protect patient data both when it is stored (at rest) and when it is being transmitted (in transit)?",Healthcare,8.24,Use of cryptography,"Rules for cryptographic controls (e.g., key management) shall be defined and implemented.",Medium,"HIPAA Encryption Requirements – 2025 Update: https://www.hipaajournal.com/hipaa-encryption-requirements/;HIPAA Encryption Requirements: The Key to Protecting Patient Privacy: https://sprinto.com/blog/hipaa-encryption-requirements/;ISO 27002:2022 Control 8.24 – Use of Cryptography: https://www.isms.online/iso-27002/control-8-24-use-of-cryptography/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.10);NIST SP 800-175B – Guideline for Using Cryptographic Standards: https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-175b.pdf"
"How does your institution govern the protection of sensitive data, specifically student records (PII) and academic research (IP), in compliance with regulations like FERPA or GDPR?",Education,5.1;5.12;5.31;5.32;5.34,"Acceptable use of information and other associated assets;Classification of information;Legal, statutory, regulatory and contractual requirements;Intellectual property rights;Privacy and protection of personally identifiable information (PII)","Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.;Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.;Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.;The organization shall implement appropriate procedures to protect intellectual property rights.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.",Medium,"Data Governance – Protecting Student Privacy: https://studentprivacy.ed.gov/topic/data-governance;Data Security: K-12 and Higher Education: https://studentprivacy.ed.gov/data-security-k-12-and-higher-education;ISO 27001:2022 Annex A 5.31 – Legal, Statutory, Regulatory and Contractual Requirements: https://www.isms.online/iso-27001/annex-a/5-31-legal-statutory-regulatory-contractual-requirements-2022/;ISO 27001:2022 Annex A 5.34 – Privacy and Protection of PII: https://www.isms.online/iso-27001/annex-a/5-34-privacy-and-protection-of-pii-2022/;NCSC-SME-Guidance-0225.pdf (p.9), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), national-cyber-risk-assessment-2022.pdf (p.32);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.5)"
"How do you manage user identities and control access for a diverse population (students, faculty, staff, alumni, guests) across various systems like the SIS, LMS, and library databases?",Education,5.15;5.16;5.17;5.18,Access control;Identity management;Authentication information;Access rights,"Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.;The full life cycle of identities shall be managed.;Allocation and management of authentication information shall be controlled by a management process, including advising personnel on appropriate handling of authentication information.;Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control.",High,"Addressing Higher Education's Unique Identity Management Challenges: https://er.educause.edu/blogs/sponsored/2019/2/addressing-higher-educations-unique-identity-management-challenges;ISO 27001:2022 Annex A 5.15 – Access Control: https://www.isms.online/iso-27001/annex-a/5-15-access-control-2022/;ISO 27001:2022 Annex A 5.18 – Access Rights: https://www.isms.online/iso-27001/annex-a/5-18-access-rights-2022/;Identity and Access Management – EDUCAUSE Library Topic Overview: https://library.educause.edu/topics/cybersecurity/identity-and-access-management;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Authentication);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Access Rights), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management), NCSC-SME-Guidance-0225.pdf (p.11);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Access Control), NCSC_NIS2_Guide.pdf (Section 5)"
"What is your institution's process for handling security incidents, from initial reporting to resolution, and how do you ensure lessons are learned to prevent recurrence?",Education,5.24;5.25;5.26;5.27;6.8,Information security incident management planning and preparation;Assessment and decision on information security events;Response to information security incidents;Learning from information security incidents;Information security event reporting,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;The organization shall assess information security events and decide if they are to be categorized as information security incidents.;Information security incidents shall be responded to in accordance with the documented procedures.;Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.;A mechanism shall be in place for personnel to report observed or suspected security events through appropriate channels.",High,"Cybersecurity Incident Management and Response Guide – EDUCAUSE: https://er.educause.edu/articles/2024/1/cybersecurity-incident-management-and-response-guide;ISO 27001:2022 Annex A 5.24 – Incident Management Planning & Preparation: https://www.isms.online/iso-27001/annex-a/5-24-incident-management-planning-and-preparation-2022/;ISO 27002 Control 5.24 – Information Security Incident Management Planning and Preparation: https://www.isms.online/iso-27002/control-5-24-information-security-incident-management-planning-and-preparation/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 20), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond);NIST SP 800-61 Rev. 3 – Computer Security Incident Handling Guide: https://csrc.nist.gov/pubs/sp/800/61/r3/final;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
"How do you ensure the continuous availability of critical educational and administrative services (e.g., LMS, online enrollment, email) during a disruption?",Education,5.29;5.3;8.13;8.14,Information security during disruption;ICT readiness for business continuity;Information backup;Redundancy of information processing facilities,"The organization shall plan how to maintain information security at an appropriate level during disruption.;ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.;Backup of data and systems shall be maintained and tested regularly.;Redundancy shall be implemented to ensure system availability.",Medium,"ISO 27001:2022 Annex A 5.29 – Information Security During Disruption: https://www.isms.online/iso-27001/annex-a/5-29-information-security-during-disruption-2022/;ISO 27002 Control 5.29 – Information Security During Disruption: https://www.isms.online/iso-27002/control-5-29-information-security-during-disruption/;ISO/IEC 27031:2011 Guidelines for ICT Readiness for Business Continuity: https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8074v2.pdf;NCSC-SME-Guidance-0225.pdf (p.13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Backup);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), national-cyber-risk-assessment-2022.pdf (p.26);Top 10 IT Issues, 2022: The Higher Education We Deserve (Business Continuity Insights): https://er.educause.edu/articles/2021/11/top-10-it-issues-2022-the-higher-education-we-deserve;national-cyber-risk-assessment-2022.pdf (p.26), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover)"
What is your approach to managing security for personnel and the thousands of user-owned devices (BYOD) connecting to the campus network?,Education,6.1;6.3;6.7;8.1,"Screening;Information security awareness, education and training;Remote working;Information deletion","Background verification checks on all candidates shall be carried out prior to joining the organization and on an ongoing basis, considering laws, regulations, business needs, and perceived risks.;Personnel and relevant interested parties shall receive appropriate information security awareness, education, and training, including updates of the organization's policies and procedures relevant to their job function.;Security measures shall be implemented when personnel are working remotely to protect information accessed, processed, or stored outside the organization’s premises.;Information stored in systems or media shall be deleted when no longer needed.",High,"BYOD Is a Big Deal on Campus – EdTech Magazine: https://edtechmagazine.com/higher/article/2012/05/byod-big-deal-campus;ISO 27001:2022 Annex A 6.7 – Remote Working: https://www.isms.online/iso-27001/annex-a/6-7-remote-working-2022/;ISO 27002 Control 8.1 – User Endpoint Devices: https://www.isms.online/iso-27002/control-8-1-user-endpoint-devices/;NCSC-SME-Guidance-0225.pdf (p.10), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.13);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Lifecycle), OJ_L_202500302_EN_TXT.pdf (Annex I);Network Access Control Is No Longer a Luxury on Campus: https://edtechmagazine.com/higher/article/2013/02/network-access-control-no-longer-luxury-campus"
"How do you secure your network infrastructure, specifically by segregating different user groups (e.g., student Wi-Fi, administrative LAN, research networks)?",Education,8.22;8.15,Segregation of networks;Logging,"Groups of services, users, and systems shall be segregated in the network.;Logs that record activities, exceptions, and events shall be produced, stored, protected, and analyzed.",High,"Campus LAN and Wireless LAN Solution Design Guide – Cisco: https://www.cisco.com/c/en/us/td/docs/solutions/CVD/Campus/cisco-campus-lan-wlan-design-guide.html;ISO 27001:2022 Annex A 8.22 – Segregation of Networks: https://www.isms.online/iso-27001/annex-a/8-22-segregation-of-networks-2022/;ISO 27002 Control 8.22 – Segregation of Networks: https://www.isms.online/iso-27002/control-8-22-segregation-of-networks/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Detect, Logging), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Segmentation), national-cyber-risk-assessment-2022.pdf (p.26);Segment Your Campus Network for Stronger Security: https://edtechmagazine.com/higher/article/2018/04/segment-your-campus-network-stronger-security"
How does your institution manage the security risks associated with acquiring and using third-party software and cloud-based EdTech services?,Education,5.2;8.26,Addressing information security within supplier agreements;Application security requirements,Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.;Information security requirements must be defined and approved for application development/acquisition.,High,"Accessibility in Technology Acquisition with HECVAT 4: https://er.educause.edu/articles/2025/4/accessibility-in-technology-acquisition-with-hecvat-4;Higher Education Community Vendor Assessment Toolkit (HECVAT): https://www.educause.edu/higher-education-community-vendor-assessment-toolkit;ISO 27001:2022 Annex A 5.19 – Information Security in Supplier Relationships: https://www.isms.online/iso-27001/annex-a/5-19-information-security-supplier-relationships-2022/;ISO 27001:2022 Annex A 5.21 – Managing Information Security in the ICT Supply Chain: https://www.isms.online/iso-27001/annex-a/5-21-managing-information-security-ict-supply-chain-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Application Security), OJ_L_202500302_EN_TXT.pdf (Article 1);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12)"
"What is your process for managing changes to critical IT systems (like the SIS or LMS) and ensuring development, testing, and production environments are kept separate?",Education,8.31;8.32;8.33,"Separation of development, test and production environments;Change management;Test information","Development, test, and production environments shall be separated and secured.;All changes to information systems shall follow a change management procedure.;Test data shall be securely managed and protected.",High,"HECVAT Lite – Change Management & Separation of Environments (template reference): https://library.educause.edu/-/media/files/library/2023/2/hecvatlite304.xlsx;ISO 27001:2022 Annex A 8.32 – Change Management: https://www.isms.online/iso-27001/annex-a/8-32-change-management-2022/;ISO 27002 Control 8.31 – Separation of Development, Test and Production Environments: https://www.isms.online/iso-27002/control-8-31-separation-of-development-test-and-production-environments/;ITIL Service Transition FAQs – EDUCAUSE: https://www.educause.edu/working-groups/resources/service-design-and-transition-toolkit/service-design-and-transition-faqs;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Audit Protection), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Change Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Test Information), national-cyber-risk-assessment-2022.pdf (p.27)"
"How does your fitness center's management establish and enforce security policies to protect member data and business operations, and how is compliance reviewed?",Fitness,5.4;5.35;5.36,"Management responsibilities;Independent review of information security;Compliance with policies, rules and standards for information security","Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.;The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.;Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.",High,"7 Ways to Protect Your Health Club From a Data Breach: https://www.healthandfitness.org/improve-your-club/7-ways-to-protect-your-health-club-from-a-data-breach/;ISO 27001:2022 Annex A 5.35 – Independent Review of Information Security: https://www.isms.online/iso-27001/annex-a/5-35-independent-review-of-information-security-2022/;ISO 27001:2022 Annex A 5.4 – Management Responsibilities: https://www.isms.online/iso-27001/annex-a/5-4-management-responsibilities-2022/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);Protecting Your Health Club Members' Health & Data Privacy: https://www.healthandfitness.org/improve-your-club/protecting-your-health-club-members-health-data-privacy/"
"What is your approach to managing access for members and staff, covering both physical entry to the facility and logical access to member management systems?",Fitness,5.15;5.16;7.3,"Access control;Identity management;Securing offices, rooms and facilities","Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.;The full life cycle of identities shall be managed.;Physical security for offices, rooms and facilities shall be designed and implemented.",High,"Best Door Entry System Options For Gyms: https://www.getkisi.com/blog/entry-systems-for-gyms;ISO 27001:2022 Annex A 5.15 – Access Control: https://www.isms.online/iso-27001/annex-a/5-15-access-control-2022/;ISO 27001:2022 Annex A 5.16 – Identity Management: https://www.isms.online/iso-27001/annex-a/5-16-identity-management-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management), NCSC-SME-Guidance-0225.pdf (p.11);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Access Control), NCSC_NIS2_Guide.pdf (Section 5);The 2024 Franchise Forecast (Security & Access Tech Trend): https://clubsolutionsmagazine.com/2024/07/the-2024-franchise-forecast/;national-cyber-risk-assessment-2022.pdf (p.28), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect)"
"How do you ensure that third-party service providers (e.g., member management software, payment processors, cleaning services) operate securely and protect your data?",Fitness,5.2,Addressing information security within supplier agreements,Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.,High,"Cybersecurity: Strong and Secure (Fitness Vendor Perspective): https://clubsolutionsmagazine.com/2022/07/cybersecurity-strong-and-secure/;ISO 27001:2022 Annex A 5.20 – Information Security Within Supplier Agreements: https://www.isms.online/iso-27001/annex-a/5-20-information-security-within-supplier-agreements-2022/;ISO 27001:2022 Annex A 5.21 – Managing Information Security in the ICT Supply Chain: https://www.isms.online/iso-27001/annex-a/5-21-managing-information-security-ict-supply-chain-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12);The Value of Better Data in Third-Party Risk Assessments: https://www.securitymagazine.com/articles/95169-the-value-of-better-data-in-third-party-risk-assessments"
"What plans are in place to ensure your gym can continue to operate and maintain security during a major disruption, such as a power outage or a failure of your primary software systems?",Fitness,5.29;7.11,Information security during disruption;Supporting utilities,The organization shall plan how to maintain information security at an appropriate level during disruption.;Facilities protected from power failures and service disruptions.,Medium,"ISO 27001:2022 Annex A 7.11 – Supporting Utilities: https://www.isms.online/iso-27001/annex-a/7-11-supporting-utilities-2022/;ISO 27002:2022 Control 5.29 – Information Security During Disruption: https://www.isms.online/iso-27002/control-5-29-information-security-during-disruption/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protective Technology), NCSC-SME-Guidance-0225.pdf (p.13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);Optimizing Data Resiliency Strategies to Improve Business Continuity: https://www.securitymagazine.com/articles/100668-optimizing-data-resiliency-strategies-to-improve-business-continuity;Types of Data Fitness Clubs Need to Backup, and Why: https://www.backupify.com/blog/types-of-data-fitness-clubs-need-to-backup-and-why/"
"How do you manage security related to your staff, from background checks before hiring to securing their access when they work remotely (e.g., a manager accessing schedules from home)?",Fitness,6.1;6.7,Screening;Remote working,"Background verification checks on all candidates shall be carried out prior to joining the organization and on an ongoing basis, considering laws, regulations, business needs, and perceived risks.;Security measures shall be implemented when personnel are working remotely to protect information accessed, processed, or stored outside the organization’s premises.",High,"A Critical Challenge: Addressing Insider Threats in Hybrid Work: https://www.securitymagazine.com/articles/101324-a-critical-challenge-understanding-and-addressing-insider-threats;Fitness Risk Management: Your Safety Shield (Background Checks): https://clubsolutionsmagazine.com/2019/01/fitness-risk-management-safety/;ISO 27001:2022 Annex A 6.1 – Screening: https://www.isms.online/iso-27001/annex-a/6-1-screening-2022/;ISO 27001:2022 Annex A 6.7 – Remote Working: https://www.isms.online/iso-27001/annex-a/6-7-remote-working-2022/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.13);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect)"
How do you protect member and business records (digital and physical) and control the software installed on your computer systems?,Fitness,5.33;8.18;8.19,Protection of records;Use of privileged utility programs;Installation of software on operational systems,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.;Use of utility programs that override controls must be restricted and tightly controlled.;Procedures must ensure secure management of software installation on systems.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);ISO 27001:2022 Annex A 5.33 – Protection of Records: https://www.isms.online/iso-27001/annex-a/5-33-protection-of-records-2022/;ISO 27001:2022 Annex A 8.18 – Use of Privileged Utility Programs: https://www.isms.online/iso-27001/annex-a/8-18-use-of-privileged-utility-programs-2022/;It's Time for SMBs to Protect Against Ransomware: https://www.securitymagazine.com/articles/97388-its-time-for-smbs-to-protect-against-ransomware;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protective Technology), NCSC_NIS2_Guide.pdf (Section 5);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);Protecting Your Gym's Member Data in a Digital World: https://www.healthandfitness.org/improve-your-club/protecting-your-gyms-member-data-in-a-digital-world/"
How does your organization stay informed about security threats and maintain contact with relevant authorities or industry groups?,Fitness,5.5;5.6,Contact with authorities;Contact with special interest groups,The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.,Medium,"18 Safety Considerations for Your Health Club Reopening Plan: https://www.healthandfitness.org/improve-your-club/safety-considerations-for-your-health-club-reopening-plan/;ISO 27001:2022 Annex A 5.5 – Contact with Government Authorities: https://www.isms.online/iso-27001/annex-a/5-5-contact-with-government-authorities-2022/;ISO 27001:2022 Annex A 5.6 – Contact with Special Interest Groups: https://www.isms.online/iso-27001/annex-a/5-6-contact-with-special-interest-groups-2022/;NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);The Latest Fitness Industry Alerts & Policy Updates: https://www.healthandfitness.org/improve-your-club/industry-news/the-latest-fitness-industry-alerts-policy-updates/;national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3)"
"How does your organization govern information security, with policies and roles covering both corporate IT environments and the plant floor (Operational Technology)?",Manufacturing,5.1;5.2;5.4;5.36,"Acceptable use of information and other associated assets;Addressing information security within supplier agreements;Management responsibilities;Compliance with policies, rules and standards for information security","Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.;Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.;Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.;Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.",High,"5 Principles for Effective OT Security Governance: https://verveindustrial.com/resources/blog/5-principles-for-guiding-cyber-security-governance/;ISO 27001:2022 Annex A 5.1 – Policies for Information Security: https://www.isms.online/iso-27001/annex-a/;ISO 27001:2022 Annex A 5.4 – Management Responsibilities: https://www.isms.online/iso-27001/annex-a/5-4-management-responsibilities-2022/;NCSC-SME-Guidance-0225.pdf (p.9), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10);NIST Publishes Guide to Operational Technology (OT) Security: https://www.nist.gov/news-events/news/2023/09/nist-publishes-guide-operational-technology-ot-security;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12)"
"What is your approach to managing intellectual property (e.g., designs, formulas, patents) and maintaining an inventory of critical assets, including production machinery and control systems?",Manufacturing,5.9;5.12;5.32;5.33,Inventory of information and other associated assets;Classification of information;Intellectual property rights;Protection of records,"An inventory of information and other associated assets, including owners, shall be developed and maintained.;Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.;The organization shall implement appropriate procedures to protect intellectual property rights.;Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.",High,"An In-Depth Look into Intellectual Property: Part One: https://www.nist.gov/news-events/news/2020/01/depth-look-intellectual-property-part-one;ISO 27001:2022 Annex A 5.9 – Inventory of Information and Other Associated Assets: https://www.isms.online/iso-27001/annex-a/5-9-inventory-of-information-other-associated-assets-2022/;Industry 4.0 and Cybersecurity – How to Protect Your Investment: https://www.nist.gov/blogs/manufacturing-innovation-blog/industry-40-and-cybersecurity-how-protect-your-investment;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), national-cyber-risk-assessment-2022.pdf (p.32);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9, Appendix B - Identify, Asset Management);Top Tips for IP Protection for Manufacturing Firms: https://www.digitalguardian.com/blog/top-tips-ip-protection-manufacturing-firms;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security)"
